Sale ID,Product Name,Category,Price,Quantity,Customer Age,Customer Gender,Discount,Payment Method,Region,Sale Date,Total Sales
22,Smartwatch,Electronics,1134.97,5,60,Female,0.16,PayPal,South America,2023-09-20,4766.87
23,Headphones,Accessories,63.93,5,41,Male,0.28,Debit Card,Africa,2024-08-12,230.15
24,Smartwatch,Electronics,839.56,7,37,Male,0.07,Credit Card,Africa,2023-10-14,5465.54
25,Headphones,Accessories,1154.97,5,42,Male,0.14,PayPal,Europe,2023-07-26,4966.37
26,Smartwatch,Electronics,1074.11,3,54,Male,0.1,Bank Transfer,Africa,2024-02-09,2900.1
27,Smartwatch,Electronics,1052.58,3,38,Female,0.28,PayPal,Africa,2023-10-02,2273.57
28,Laptop,Electronics,948.28,6,60,Male,0.12,Bank Transfer,Asia,2023-06-13,5006.92
29,Smartwatch,Electronics,167.34,10,47,Male,0.08,Credit Card,South America,2023-05-11,1539.53
30,Laptop,Electronics,1202.22,8,55,Female,0.03,Credit Card,Africa,2024-03-11,9329.23
31,Tablet,Electronics,823.31,9,47,Male,0.05,PayPal,Europe,2024-05-05,7039.3
32,Smartwatch,Electronics,1301.15,3,24,Female,0.07,Bank Transfer,South America,2024-09-15,3630.21
33,Smartphone,Electronics,1066.1,6,36,Male,0.15,PayPal,South America,2023-03-08,5437.11
34,Laptop,Electronics,815.54,7,34,Male,0.2,Bank Transfer,North America,2024-02-17,4567.02
35,Smartwatch,Electronics,1056.13,4,60,Female,0.23,Debit Card,North America,2024-07-23,3252.88
36,Smartwatch,Electronics,745.22,10,36,Male,0.17,PayPal,Asia,2023-09-26,6185.33
37,Headphones,Accessories,389.91,6,20,Male,0.1,Debit Card,Asia,2023-06-20,2105.51
38,Smartphone,Electronics,1370.48,9,62,Male,0.28,Debit Card,Africa,2024-11-23,8880.71
39,Smartphone,Electronics,730.67,10,28,Female,0.18,Debit Card,Asia,2023-02-15,5991.49
40,Smartphone,Electronics,509.32,1,25,Female,0.02,Debit Card,North America,2023-06-15,499.13
41,Headphones,Accessories,455.43,7,59,Male,0.11,Debit Card,Asia,2023-06-15,2837.33
42,Smartwatch,Electronics,890.67,5,50,Female,0.04,Credit Card,Africa,2023-08-16,4275.22
43,Headphones,Accessories,51.2,10,63,Female,0.29,Debit Card,South America,2024-11-04,363.52
44,Tablet,Electronics,600.41,5,53,Female,0.28,Credit Card,Asia,2023-06-18,2161.48
45,Headphones,Accessories,1460.29,7,51,Male,0.11,PayPal,Asia,2024-02-19,9097.61
46,Tablet,Electronics,255.66,7,58,Female,0.2,Debit Card,Asia,2024-02-26,1431.7
47,Smartwatch,Electronics,336.03,6,65,Male,0.22,Debit Card,Asia,2025-02-02,1572.62
48,Smartphone,Electronics,938.82,8,27,Male,0.17,Bank Transfer,North America,2023-10-05,6233.76
49,Laptop,Electronics,335.52,8,40,Male,0.06,Credit Card,Europe,2024-04-06,2523.11
50,Smartwatch,Electronics,485.1,9,25,Male,0.07,PayPal,South America,2024-03-26,4060.29
51,Headphones,Accessories,929.88,1,27,Female,0.16,Bank Transfer,Europe,2023-11-19,781.1
52,Headphones,Accessories,1012.34,2,41,Male,0.19,Bank Transfer,South America,2024-07-31,1639.99
53,Smartwatch,Electronics,813.89,5,52,Female,0.06,Credit Card,Asia,2023-05-18,3825.28
54,Tablet,Electronics,1079.47,1,61,Female,0.29,Debit Card,South America,2024-03-15,766.42
55,Tablet,Electronics,1371.17,1,27,Male,0.27,Debit Card,Europe,2023-11-17,1000.95
56,Smartphone,Electronics,816.79,1,44,Female,0.05,Debit Card,Africa,2024-11-16,775.95
57,Tablet,Electronics,578.38,8,46,Male,0.07,Bank Transfer,Europe,2024-10-25,4303.15
58,Laptop,Electronics,717.9,5,41,Female,0.26,Bank Transfer,Europe,2023-04-01,2656.23
59,Tablet,Electronics,914.04,5,29,Male,0.25,Bank Transfer,Asia,2023-06-21,3427.65
60,Tablet,Electronics,311.24,7,53,Male,0.04,Debit Card,Africa,2023-02-27,2091.53
61,Laptop,Electronics,1499.9,8,48,Male,0.1,Debit Card,Asia,2023-10-23,10799.28
62,Tablet,Electronics,112.38,9,29,Male,0.29,Credit Card,South America,2024-12-25,718.11
63,Laptop,Electronics,628.66,8,34,Female,0.01,Debit Card,Africa,2024-10-09,4978.99
64,Headphones,Accessories,309.16,3,58,Male,0.25,Debit Card,Africa,2024-12-29,695.61
65,Headphones,Accessories,1296.47,1,50,Male,0.06,PayPal,Africa,2023-02-21,1218.68
66,Laptop,Electronics,1130.69,6,47,Male,0.15,Bank Transfer,Asia,2024-11-09,5766.52
67,Laptop,Electronics,289.04,4,22,Female,0.2,PayPal,Africa,2024-06-27,924.93
68,Laptop,Electronics,867.08,5,59,Male,0.22,Debit Card,South America,2024-03-25,3381.61
69,Smartphone,Electronics,458.03,1,54,Male,0.08,Debit Card,Africa,2023-09-29,421.39
70,Smartphone,Electronics,985.89,2,45,Female,0.07,PayPal,Asia,2023-02-11,1833.76
71,Smartphone,Electronics,198.84,1,42,Female,0.24,Debit Card,North America,2024-06-15,151.12
72,Headphones,Accessories,423.97,10,55,Female,0.12,Debit Card,North America,2024-11-08,3730.94
73,Laptop,Electronics,340.73,10,35,Female,0.17,Bank Transfer,North America,2024-11-10,2828.06
74,Tablet,Electronics,1321.27,10,58,Male,0.21,Debit Card,North America,2023-11-17,10438.03
75,Tablet,Electronics,132.0,8,56,Male,0.2,Debit Card,South America,2024-12-09,844.8
76,Laptop,Electronics,1060.16,7,34,Female,0.06,Credit Card,Europe,2024-02-18,6975.85
77,Tablet,Electronics,790.01,8,55,Female,0.01,Debit Card,North America,2023-04-08,6256.88
78,Laptop,Electronics,1335.25,8,57,Female,0.02,Debit Card,Africa,2024-03-13,10468.36
79,Tablet,Electronics,264.59,3,30,Male,0.02,Credit Card,North America,2023-08-17,777.89
80,Laptop,Electronics,689.39,8,42,Female,0.08,PayPal,Asia,2024-06-23,5073.91
81,Smartwatch,Electronics,425.23,6,30,Female,0.01,Credit Card,Europe,2024-09-15,2525.87
82,Smartwatch,Electronics,136.45,5,57,Male,0.09,Debit Card,North America,2023-08-26,620.85
83,Smartphone,Electronics,1325.73,4,30,Female,0.13,Credit Card,South America,2023-03-25,4613.54
84,Tablet,Electronics,1253.06,8,48,Female,0.09,PayPal,South America,2023-05-18,9122.28
85,Headphones,Accessories,1118.81,1,56,Male,0.21,Debit Card,Africa,2024-01-05,883.86
86,Smartwatch,Electronics,530.07,10,57,Male,0.04,PayPal,North America,2024-04-20,5088.67
87,Smartwatch,Electronics,1125.14,8,23,Male,0.28,Credit Card,Africa,2024-02-11,6480.81
88,Smartwatch,Electronics,1140.35,5,32,Female,0.24,Debit Card,Africa,2023-07-11,4333.33
89,Headphones,Accessories,619.04,4,61,Male,0.11,PayPal,South America,2024-01-28,2203.78
90,Smartwatch,Electronics,560.69,1,56,Female,0.02,Credit Card,North America,2023-11-19,549.48
91,Smartwatch,Electronics,1153.73,10,57,Female,0.13,Debit Card,Africa,2023-06-24,10037.45
92,Smartphone,Electronics,362.62,2,55,Female,0.07,Debit Card,Africa,2024-04-06,674.47
93,Headphones,Accessories,1114.57,7,18,Female,0.26,Bank Transfer,Asia,2024-01-16,5773.47
94,Headphones,Accessories,264.78,2,45,Male,0.26,Bank Transfer,Asia,2024-06-25,391.87
95,Smartphone,Electronics,1426.97,2,59,Male,0.1,Debit Card,Asia,2024-12-09,2568.55
96,Smartphone,Electronics,173.21,7,52,Male,0.23,Credit Card,Africa,2023-07-11,933.6
97,Tablet,Electronics,1499.79,3,48,Female,0.06,Bank Transfer,South America,2023-05-12,4229.41
98,Laptop,Electronics,1061.94,5,61,Male,0.12,Bank Transfer,South America,2024-12-16,4672.54
99,Smartphone,Electronics,927.58,9,37,Female,0.06,Debit Card,South America,2024-04-08,7847.33
100,Tablet,Electronics,1497.9,10,56,Female,0.23,Credit Card,South America,2024-01-25,11533.83
101,Tablet,Electronics,730.88,5,43,Female,0.13,Debit Card,Africa,2023-01-03,3179.33
102,Smartwatch,Electronics,1122.35,7,30,Male,0.1,Bank Transfer,Africa,2023-10-22,7070.8
103,Tablet,Electronics,437.32,6,28,Male,0.3,Bank Transfer,South America,2023-03-24,1836.74
104,Tablet,Electronics,66.15,6,62,Female,0.28,Debit Card,South America,2023-02-22,285.77
105,Smartphone,Electronics,1103.66,4,33,Male,0.27,Debit Card,Africa,2024-09-25,3222.69
106,Tablet,Electronics,963.45,10,35,Female,0.14,Bank Transfer,Europe,2023-07-28,8285.67
107,Headphones,Accessories,66.31,9,61,Female,0.16,Debit Card,Europe,2024-11-30,501.3
108,Smartphone,Electronics,743.22,2,63,Male,0.05,Credit Card,South America,2024-01-20,1412.12
109,Headphones,Accessories,1451.12,4,28,Female,0.29,Credit Card,Asia,2023-10-10,4121.18
110,Headphones,Accessories,851.75,6,26,Female,0.28,PayPal,North America,2024-09-30,3679.56
111,Smartphone,Electronics,708.31,4,52,Male,0.14,Credit Card,Europe,2024-05-16,2436.59
112,Smartwatch,Electronics,111.26,6,30,Male,0.13,Bank Transfer,Europe,2023-12-08,580.78
113,Tablet,Electronics,880.48,7,49,Female,0.17,Debit Card,North America,2024-06-17,5115.59
114,Smartphone,Electronics,605.14,9,39,Male,0.19,Debit Card,Asia,2023-08-13,4411.47
115,Headphones,Accessories,710.43,1,27,Female,0.09,Bank Transfer,Africa,2024-01-05,646.49
116,Smartwatch,Electronics,1450.0,7,45,Female,0.02,Credit Card,North America,2024-08-19,9947.0
117,Smartwatch,Electronics,1203.97,7,18,Female,0.1,PayPal,Asia,2023-10-31,7585.01
118,Smartwatch,Electronics,463.68,3,37,Male,0.27,Debit Card,Asia,2024-03-13,1015.46
119,Tablet,Electronics,1337.65,1,27,Male,0.09,Debit Card,North America,2023-04-14,1217.26
120,Tablet,Electronics,143.57,1,58,Male,0.11,Bank Transfer,North America,2024-04-11,127.78
121,Headphones,Accessories,905.96,7,56,Male,0.17,Credit Card,Europe,2023-05-07,5263.63
122,Smartwatch,Electronics,1314.35,6,27,Male,0.23,Bank Transfer,Europe,2024-09-12,6072.3
123,Smartphone,Electronics,1328.47,10,21,Female,0.22,Debit Card,North America,2023-01-09,10362.07
124,Headphones,Accessories,518.32,9,54,Female,0.14,PayPal,Asia,2024-12-18,4011.8
125,Smartwatch,Electronics,1001.32,4,33,Female,0.07,Debit Card,South America,2024-07-12,3724.91
126,Tablet,Electronics,1128.37,10,63,Female,0.08,Credit Card,Asia,2024-11-04,10381.0
127,Smartwatch,Electronics,230.97,3,41,Male,0.22,Credit Card,Europe,2023-01-31,540.47
128,Tablet,Electronics,72.22,8,52,Female,0.29,Credit Card,Asia,2024-06-07,410.21
129,Smartwatch,Electronics,162.64,10,32,Female,0.11,Debit Card,South America,2024-06-01,1447.5
130,Smartphone,Electronics,759.69,6,51,Female,0.12,Debit Card,Africa,2024-06-16,4011.16
131,Smartwatch,Electronics,1495.02,4,35,Female,0.16,Debit Card,North America,2025-01-05,5023.27
132,Headphones,Accessories,746.35,3,53,Female,0.25,Bank Transfer,North America,2024-05-22,1679.29
133,Smartwatch,Electronics,1277.28,2,42,Female,0.02,Credit Card,South America,2023-05-21,2503.47
134,Laptop,Electronics,329.3,7,28,Female,0.08,Credit Card,South America,2024-04-07,2120.69
135,Laptop,Electronics,200.22,1,26,Female,0.01,PayPal,South America,2024-07-28,198.22
136,Headphones,Accessories,779.35,5,26,Male,0.29,Credit Card,North America,2024-02-11,2766.69
137,Smartphone,Electronics,1419.83,10,37,Male,0.02,PayPal,North America,2023-08-04,13914.33
138,Smartphone,Electronics,85.65,9,63,Female,0.0,Bank Transfer,South America,2023-01-23,770.85
139,Laptop,Electronics,796.33,7,39,Female,0.1,PayPal,North America,2024-03-13,5016.88
140,Headphones,Accessories,1123.01,5,30,Female,0.05,Bank Transfer,North America,2024-12-06,5334.3
141,Smartphone,Electronics,86.81,8,64,Male,0.27,Debit Card,South America,2023-04-12,506.97
142,Laptop,Electronics,1196.95,6,33,Female,0.1,Credit Card,Europe,2023-10-14,6463.53
143,Smartwatch,Electronics,1063.17,5,23,Female,0.18,PayPal,North America,2024-09-11,4359.0
144,Laptop,Electronics,925.86,3,40,Male,0.26,Credit Card,Asia,2024-09-10,2055.41
145,Smartwatch,Electronics,315.78,5,45,Female,0.05,PayPal,Europe,2023-01-31,1499.95
146,Tablet,Electronics,1094.92,1,26,Female,0.21,PayPal,Africa,2025-01-11,864.99
147,Laptop,Electronics,1464.52,10,56,Male,0.0,Credit Card,Asia,2023-02-24,14645.2
148,Smartwatch,Electronics,1126.0,7,42,Female,0.1,Debit Card,North America,2023-04-14,7093.8
149,Laptop,Electronics,1178.01,5,50,Female,0.23,Bank Transfer,Asia,2024-04-19,4535.34
150,Smartphone,Electronics,451.59,9,46,Male,0.23,Bank Transfer,Asia,2024-01-08,3129.52
151,Headphones,Accessories,1155.17,7,32,Female,0.22,Debit Card,Africa,2023-07-19,6307.23
152,Smartwatch,Electronics,1410.81,10,26,Male,0.26,Bank Transfer,Asia,2023-06-23,10439.99
153,Smartphone,Electronics,1240.54,3,39,Male,0.1,PayPal,North America,2025-01-11,3349.46
154,Headphones,Accessories,1424.23,3,44,Female,0.27,PayPal,Africa,2024-03-09,3119.06
155,Laptop,Electronics,555.25,6,24,Male,0.25,Debit Card,Europe,2024-12-30,2498.62
156,Smartphone,Electronics,126.78,4,62,Female,0.16,Bank Transfer,Asia,2023-07-23,425.98
157,Tablet,Electronics,984.22,8,29,Male,0.21,Bank Transfer,South America,2024-08-16,6220.27
158,Headphones,Accessories,575.57,7,35,Male,0.25,Bank Transfer,Asia,2024-04-19,3021.74
159,Smartwatch,Electronics,1144.23,3,31,Female,0.17,PayPal,North America,2023-12-08,2849.13
160,Headphones,Accessories,141.62,3,65,Male,0.16,Bank Transfer,Africa,2025-01-11,356.88
161,Laptop,Electronics,497.4,3,30,Female,0.11,Bank Transfer,North America,2024-04-13,1328.06
162,Smartwatch,Electronics,941.48,8,26,Female,0.03,Bank Transfer,Asia,2023-04-23,7305.88
163,Smartwatch,Electronics,595.05,3,36,Male,0.21,Credit Card,North America,2023-02-23,1410.27
164,Laptop,Electronics,1049.5,7,34,Female,0.08,Debit Card,North America,2024-05-20,6758.78
165,Headphones,Accessories,1404.13,4,61,Female,0.19,Debit Card,Asia,2024-01-13,4549.38
166,Laptop,Electronics,1409.11,3,60,Male,0.2,Debit Card,Europe,2024-10-25,3381.86
167,Smartwatch,Electronics,1179.03,10,45,Male,0.21,Debit Card,North America,2023-03-30,9314.34
168,Tablet,Electronics,1155.92,10,55,Male,0.25,Credit Card,Europe,2023-09-21,8669.4
169,Tablet,Electronics,432.81,6,45,Female,0.21,Debit Card,North America,2023-03-25,2051.52
170,Headphones,Accessories,191.89,5,33,Male,0.22,Debit Card,Asia,2023-09-16,748.37
171,Tablet,Electronics,768.54,6,44,Male,0.14,Credit Card,Asia,2024-05-06,3965.67
172,Laptop,Electronics,1184.61,1,28,Female,0.0,Credit Card,North America,2023-08-20,1184.61
173,Smartwatch,Electronics,1005.78,3,44,Male,0.1,Bank Transfer,South America,2025-01-15,2715.61
174,Smartwatch,Electronics,895.93,6,65,Female,0.01,Bank Transfer,Asia,2023-11-29,5321.82
175,Headphones,Accessories,1424.91,10,41,Male,0.03,Credit Card,Africa,2025-01-19,13821.63
176,Headphones,Accessories,850.87,2,56,Male,0.25,Bank Transfer,North America,2023-02-27,1276.31
177,Laptop,Electronics,1116.79,8,30,Female,0.27,PayPal,South America,2023-02-17,6522.05
178,Headphones,Accessories,1039.78,3,36,Female,0.12,Debit Card,Africa,2024-09-29,2745.02
179,Laptop,Electronics,1047.87,6,23,Female,0.22,Debit Card,Asia,2023-06-11,4904.03
180,Headphones,Accessories,488.32,6,34,Male,0.07,Bank Transfer,North America,2024-06-08,2724.83
181,Laptop,Electronics,246.85,4,19,Female,0.27,Credit Card,Africa,2024-11-19,720.8
182,Laptop,Electronics,870.12,8,48,Male,0.29,Debit Card,Europe,2023-04-05,4942.28
183,Smartphone,Electronics,1359.69,3,62,Male,0.01,Bank Transfer,Europe,2023-01-08,4038.28
184,Laptop,Electronics,991.93,7,58,Male,0.21,Bank Transfer,Asia,2024-04-19,5485.37
185,Laptop,Electronics,161.47,9,61,Male,0.12,PayPal,North America,2023-02-25,1278.84
186,Laptop,Electronics,1440.86,4,33,Female,0.04,Credit Card,South America,2024-08-14,5532.9
187,Smartwatch,Electronics,1352.62,2,20,Male,0.15,PayPal,South America,2023-03-17,2299.45
188,Smartphone,Electronics,188.55,4,36,Male,0.25,Debit Card,Asia,2023-11-21,565.65
189,Tablet,Electronics,858.09,9,20,Male,0.28,Bank Transfer,South America,2024-08-15,5560.42
190,Headphones,Accessories,641.64,6,41,Male,0.04,Credit Card,Europe,2023-07-25,3695.85
191,Smartphone,Electronics,594.85,10,39,Female,0.21,Bank Transfer,Europe,2023-12-17,4699.32
192,Headphones,Accessories,1286.8,7,54,Male,0.28,Credit Card,South America,2023-07-31,6485.47
193,Smartwatch,Electronics,1406.62,1,44,Female,0.1,Debit Card,Africa,2024-05-02,1265.96
194,Headphones,Accessories,1279.14,10,62,Male,0.06,PayPal,South America,2023-08-04,12023.92
195,Tablet,Electronics,271.25,6,21,Female,0.24,Credit Card,North America,2024-11-20,1236.9
196,Tablet,Electronics,538.33,9,41,Female,0.05,Debit Card,Asia,2023-11-09,4602.72
197,Smartphone,Electronics,740.17,9,61,Female,0.13,PayPal,Europe,2023-04-28,5795.53
198,Smartwatch,Electronics,971.43,2,52,Male,0.29,PayPal,Europe,2024-10-04,1379.43
199,Tablet,Electronics,542.36,3,65,Female,0.17,Debit Card,South America,2024-10-12,1350.48
200,Smartwatch,Electronics,530.65,7,22,Male,0.04,Debit Card,North America,2023-05-09,3565.97
201,Tablet,Electronics,987.21,7,57,Male,0.14,PayPal,South America,2023-12-07,5943.0
202,Headphones,Accessories,1264.65,4,35,Female,0.05,PayPal,South America,2023-04-21,4805.67
203,Laptop,Electronics,1086.31,4,28,Male,0.09,Bank Transfer,Europe,2024-12-21,3954.17
204,Tablet,Electronics,471.17,9,38,Male,0.08,PayPal,Asia,2023-08-12,3901.29
205,Laptop,Electronics,633.11,1,44,Male,0.23,Bank Transfer,Asia,2023-01-05,487.49
206,Headphones,Accessories,1367.38,10,40,Female,0.21,Credit Card,Africa,2024-01-27,10802.3
207,Tablet,Electronics,1359.75,7,33,Male,0.0,Debit Card,South America,2025-01-20,9518.25
208,Smartphone,Electronics,1290.69,2,39,Male,0.04,PayPal,North America,2024-03-23,2478.12
209,Smartphone,Electronics,459.9,8,40,Male,0.0,Credit Card,North America,2023-10-12,3679.2
210,Smartphone,Electronics,1377.95,6,58,Female,0.11,PayPal,Asia,2024-03-02,7358.25
211,Headphones,Accessories,990.93,8,59,Female,0.04,Debit Card,South America,2023-01-10,7610.34
212,Tablet,Electronics,82.76,3,64,Female,0.23,Bank Transfer,North America,2024-12-26,191.18
213,Smartwatch,Electronics,1221.84,3,31,Female,0.24,Bank Transfer,Asia,2024-03-06,2785.8
214,Tablet,Electronics,107.24,2,59,Female,0.05,Debit Card,North America,2024-11-13,203.76
215,Headphones,Accessories,132.48,7,28,Female,0.04,Debit Card,Europe,2023-05-15,890.27
216,Smartwatch,Electronics,921.37,10,51,Female,0.17,PayPal,Europe,2024-03-31,7647.37
217,Laptop,Electronics,1475.05,1,24,Female,0.29,PayPal,Asia,2023-02-04,1047.29
218,Tablet,Electronics,951.07,10,56,Male,0.23,Bank Transfer,Asia,2024-02-26,7323.24
219,Smartphone,Electronics,616.61,6,59,Female,0.21,Credit Card,South America,2025-01-19,2922.73
220,Smartphone,Electronics,181.53,10,36,Male,0.05,Bank Transfer,South America,2024-11-19,1724.53
221,Headphones,Accessories,1220.26,8,54,Female,0.07,Bank Transfer,Asia,2023-05-28,9078.73
222,Smartphone,Electronics,656.93,2,54,Male,0.05,PayPal,Europe,2024-12-18,1248.17
223,Headphones,Accessories,1289.84,9,38,Female,0.15,Bank Transfer,Asia,2023-07-03,9867.28
224,Laptop,Electronics,347.81,3,37,Male,0.0,Debit Card,North America,2024-02-09,1043.43
225,Tablet,Electronics,1069.78,7,61,Male,0.13,Debit Card,North America,2023-10-21,6514.96
226,Smartphone,Electronics,322.44,10,54,Female,0.03,Bank Transfer,Africa,2024-03-05,3127.67
227,Tablet,Electronics,514.03,5,20,Female,0.18,PayPal,Europe,2024-07-10,2107.52
228,Headphones,Accessories,926.03,8,41,Female,0.19,PayPal,Africa,2023-12-22,6000.67
229,Laptop,Electronics,1286.31,8,25,Female,0.16,Bank Transfer,North America,2023-06-21,8644.0
230,Tablet,Electronics,1485.86,2,59,Male,0.0,Bank Transfer,South America,2023-05-27,2971.72
231,Smartwatch,Electronics,212.95,7,48,Female,0.25,PayPal,South America,2023-08-31,1117.99
232,Smartwatch,Electronics,323.01,7,31,Female,0.22,Debit Card,Africa,2023-07-12,1763.63
233,Smartphone,Electronics,747.61,4,65,Female,0.05,Debit Card,North America,2023-12-26,2840.92
234,Smartwatch,Electronics,1352.24,9,43,Female,0.1,PayPal,Asia,2023-03-14,10953.14
235,Laptop,Electronics,257.25,1,52,Male,0.21,Bank Transfer,North America,2024-06-26,203.23
236,Smartphone,Electronics,879.53,9,37,Male,0.21,Debit Card,Africa,2024-12-10,6253.46
237,Smartwatch,Electronics,1260.59,9,18,Male,0.09,PayPal,South America,2024-08-21,10324.23
238,Smartphone,Electronics,1113.68,7,30,Male,0.25,PayPal,Asia,2023-10-23,5846.82
239,Tablet,Electronics,1327.94,5,64,Female,0.03,PayPal,South America,2024-04-25,6440.51
240,Tablet,Electronics,640.98,2,46,Female,0.26,Credit Card,South America,2023-10-26,948.65
241,Laptop,Electronics,159.62,4,55,Female,0.01,Credit Card,South America,2024-09-20,632.1
242,Smartwatch,Electronics,1284.69,1,52,Male,0.13,Credit Card,Europe,2024-10-29,1117.68
243,Tablet,Electronics,563.03,2,45,Male,0.19,Credit Card,Africa,2024-03-13,912.11
244,Headphones,Accessories,622.08,1,24,Female,0.17,Credit Card,South America,2024-05-24,516.33
245,Laptop,Electronics,90.11,5,25,Female,0.21,Credit Card,Europe,2023-05-22,355.93
246,Smartphone,Electronics,495.35,9,61,Female,0.21,Bank Transfer,Asia,2023-05-17,3521.94
247,Headphones,Accessories,1274.95,7,26,Female,0.24,Credit Card,South America,2024-02-24,6782.73
248,Smartphone,Electronics,207.98,6,34,Female,0.25,Bank Transfer,Africa,2023-09-18,935.91
249,Laptop,Electronics,217.26,10,52,Male,0.23,Credit Card,Asia,2023-08-13,1672.9
250,Headphones,Accessories,509.93,5,22,Female,0.21,Debit Card,Africa,2024-04-17,2014.22
251,Laptop,Electronics,180.77,1,33,Male,0.01,PayPal,Europe,2024-11-07,178.96
252,Headphones,Accessories,1188.3,5,61,Male,0.24,Debit Card,Europe,2024-08-05,4515.54
253,Laptop,Electronics,1416.63,6,60,Male,0.27,PayPal,Asia,2024-12-20,6204.84
254,Smartwatch,Electronics,96.74,2,34,Male,0.12,Debit Card,North America,2023-02-27,170.26
255,Smartwatch,Electronics,617.91,1,50,Female,0.16,Debit Card,North America,2025-01-22,519.04
256,Headphones,Accessories,183.11,8,53,Male,0.03,Credit Card,Asia,2024-05-17,1420.93
257,Smartphone,Electronics,1347.61,4,52,Female,0.27,Credit Card,South America,2023-04-08,3935.02
258,Headphones,Accessories,460.38,1,40,Male,0.18,PayPal,North America,2024-06-17,377.51
259,Tablet,Electronics,935.57,9,50,Female,0.02,Bank Transfer,Asia,2024-08-28,8251.73
260,Headphones,Accessories,1347.19,4,50,Female,0.07,PayPal,Asia,2024-04-20,5011.55
261,Tablet,Electronics,644.56,7,37,Female,0.02,Debit Card,Europe,2023-01-10,4421.68
262,Tablet,Electronics,1276.76,7,62,Male,0.02,Bank Transfer,Africa,2023-04-26,8758.57
263,Smartwatch,Electronics,1254.1,1,20,Male,0.14,Debit Card,Europe,2024-01-29,1078.53
264,Laptop,Electronics,76.77,4,20,Female,0.02,Bank Transfer,South America,2024-05-13,300.94
265,Headphones,Accessories,1005.64,5,23,Male,0.25,Credit Card,South America,2024-08-30,3771.15
266,Laptop,Electronics,1062.39,9,37,Male,0.17,Bank Transfer,Africa,2023-06-18,7936.05
267,Laptop,Electronics,527.89,10,65,Male,0.12,Bank Transfer,Europe,2023-02-27,4645.43
268,Smartwatch,Electronics,910.72,8,40,Female,0.0,PayPal,South America,2025-01-01,7285.76
269,Smartwatch,Electronics,1311.23,6,24,Female,0.18,PayPal,Europe,2024-01-07,6451.25
270,Smartwatch,Electronics,1321.86,10,58,Female,0.17,Credit Card,Africa,2024-10-26,10971.44
271,Smartphone,Electronics,445.24,9,18,Female,0.28,Credit Card,North America,2024-06-03,2885.16
272,Tablet,Electronics,1330.4,10,20,Female,0.08,Credit Card,Asia,2023-10-14,12239.68
273,Headphones,Accessories,1209.66,2,24,Female,0.02,Credit Card,South America,2024-01-12,2370.93
274,Smartphone,Electronics,119.02,1,64,Female,0.19,Credit Card,Africa,2024-01-22,96.41
275,Smartwatch,Electronics,1412.86,10,19,Female,0.24,PayPal,Africa,2023-04-12,10737.74
276,Tablet,Electronics,704.8,2,29,Female,0.3,PayPal,Africa,2023-06-29,986.72
277,Smartwatch,Electronics,810.05,8,57,Female,0.26,Debit Card,South America,2024-06-15,4795.5
278,Headphones,Accessories,164.71,7,41,Female,0.05,Credit Card,Africa,2024-04-06,1095.32
279,Smartwatch,Electronics,798.02,4,58,Male,0.05,PayPal,South America,2023-12-14,3032.48
